City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Catuday,PH,82.33,overcast clouds,16.29,119.81,GResort
359,Dzilam Gonzalez,MX,77.09,light rain,21.28,-88.93,Amina
367,Dzaoudzi,YT,77.0,light rain,-12.79,45.27,Le Rocher
373,Kaeo,NZ,71.01,few clouds,-35.1,173.78,Bushido Lodge
374,Kawalu,ID,83.84,light rain,-7.38,108.21,KOSAN UNGU UNSIK
376,Namatanai,PG,86.36,scattered clouds,-3.67,152.43,Namatanai Hotel
377,Adre,TD,73.2,scattered clouds,13.47,22.2,
378,Buritama,BR,74.03,moderate rain,-21.07,-50.15,Rancho Do Presidente - Buritama - SP
382,Simao,CN,74.08,overcast clouds,22.79,100.97,Changyu Hotel
384,Ballina,AU,77.0,light rain,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
386,Duku,NG,73.56,overcast clouds,11.24,4.91,
387,Ramgarh,IN,75.2,haze,23.63,85.52,Rajesh Tea Shop
389,Banjar,ID,89.6,scattered clouds,-8.19,114.97,The Hamsa Resort
390,Santa Ines,BR,76.53,overcast clouds,-3.67,-45.38,HOTEL TOP
393,Chandler,US,84.99,scattered clouds,33.31,-111.84,Crowne Plaza Hotels & Resorts Phoenix - Chandler Golf Resort
397,Gizo,SB,84.15,light rain,-8.1,156.84,Imagination Island
398,Bukama,CD,71.13,scattered clouds,-9.2,25.85,
404,Kimbe,PG,86.92,light rain,-5.55,150.14,Kimbe Bay Hotel
405,Limbe,CM,77.0,broken clouds,4.02,9.21,The LK Hotel at Bonadikombo
407,Urumita,CO,73.33,overcast clouds,10.56,-73.01,EDUVIGES ALVARADO
411,Mitsamiouli,KM,78.89,few clouds,-11.38,43.28,Foyer ADM
415,Itarema,BR,79.14,few clouds,-2.92,-39.92,Windvillage
417,Yenagoa,NG,74.75,overcast clouds,4.92,6.26,Amba Hotels Limited
418,Cravo Norte,CO,77.04,light rain,6.3,-70.2,Hotel El Puerto
421,Mareeba,AU,86.0,broken clouds,-17.0,145.43,Trinity Plains Tourist Park
423,Karratha,AU,84.27,clear sky,-20.74,116.85,ibis Styles Karratha
430,Baturaja,ID,86.14,overcast clouds,-4.13,104.17,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
432,Seminole,US,75.0,broken clouds,28.71,-81.21,Ono Hot Dog Cart and Catering
438,Islampur,IN,78.26,broken clouds,26.27,88.2,Subham Hotel & Lodge
439,Coahuayana,MX,80.65,light rain,18.73,-103.68,Hotel Los Arcos
443,Manzanillo,CU,76.59,moderate rain,20.34,-77.12,Adrian & Tonia
445,Saint-Pierre,RE,75.2,few clouds,-21.34,55.48,Lindsey Hôtel
446,Panama City,PA,78.8,light rain,8.99,-79.52,Trump International Hotel & Tower Panama
448,Majene,ID,86.85,broken clouds,-3.54,118.97,Kost Putri RABBANI
456,Savannah,US,71.01,clear sky,32.08,-81.1,SpringHill Suites by Marriott Savannah Downtown/Historic District
460,Leo,BF,73.06,few clouds,11.1,-2.1,Hotel Sissilis
463,Merritt Island,US,79.0,overcast clouds,28.54,-80.67,
465,Marsh Harbour,BS,79.3,clear sky,26.54,-77.06,Abaco Beach Resort
467,Panique,PH,79.63,light rain,12.48,122.02,Panique Cove Resort
468,La Primavera,CO,74.86,overcast clouds,5.49,-70.41,La Riviera Hotel Colonial
472,Lekoni,GA,71.13,overcast clouds,-1.58,14.26,Rendez-vous Des ChasseursD
474,Barra Patuca,HN,80.11,overcast clouds,15.8,-84.28,
476,Sabang,ID,83.05,light rain,5.89,95.32,Hotel Citra
485,Maun,BW,71.6,clear sky,-19.98,23.42,Enviro Villa
488,Bawku,GH,75.45,scattered clouds,11.06,-0.24,Ultimate Guest House
492,Zhuhai,CN,75.2,few clouds,22.28,113.57,珠海粤财假日酒店
493,Kismayo,SO,79.77,scattered clouds,-0.36,42.55,Agan-Hotel
494,Batie,BF,72.36,broken clouds,9.88,-2.92,Auberge SONDAR AFACI
498,Lamu,KE,78.8,broken clouds,-2.27,40.9,Lamu House
500,Am Timan,TD,73.81,overcast clouds,11.03,20.28,Palais du chef Canton Salamt
503,Almeirim,BR,81.41,clear sky,-1.52,-52.58,Ricácio Hotel
507,Cayenne,GF,77.0,few clouds,4.93,-52.33,Hôtel Le Dronmi
508,Darnah,LY,70.2,clear sky,32.77,22.64,زاوية الرفاعي
509,Gouyave,GD,80.6,scattered clouds,12.16,-61.73,Rumboat Retreat
510,Saint-Joseph,RE,75.2,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
519,Alice Springs,AU,73.4,clear sky,-23.7,133.88,Desert Palms Alice Springs
520,Mount Pleasant,US,72.0,clear sky,32.79,-79.86,Best Western Patriots Point
521,Praia,CV,78.8,few clouds,14.92,-23.51,LT Aparthotel
522,Batasan,PH,79.57,light rain,12.77,120.78,SAN GABRIEL BEACH RESORT
524,Kattivakkam,IN,80.6,mist,13.22,80.32,St. Joseph Thirumana mandapam
528,Savelugu,GH,75.79,overcast clouds,9.62,-0.83,Yoo Naa's Palace
530,Sarangani,PH,83.68,moderate rain,5.4,125.46,Ballistic Islet
532,Dig,IN,79.9,clear sky,27.47,77.33,JAI PALACE MARRIAGE HOME & GUEST HOUSE DEEG
533,Trincomalee,LK,83.95,broken clouds,8.57,81.23,Welcombe Hotel
534,Bubaque,GW,83.62,broken clouds,11.28,-15.83,"Casa Dora, Bubaque"
537,Bowen,AU,84.2,scattered clouds,-20.02,148.23,Castle Motor Lodge Motel
538,Karaton,ID,89.01,scattered clouds,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
541,Antalaha,MG,70.88,clear sky,-14.9,50.28,Hotel Vitasoa
542,Bonthe,SL,78.24,light rain,7.53,-12.51,Bonthe Holiday Village
543,Erzin,TR,73.0,clear sky,36.96,36.2,Artemis Otel
546,Rurrenabaque,BO,73.6,scattered clouds,-14.44,-67.53,Casa de Campo
549,Birao,CF,75.61,overcast clouds,10.28,22.79,
550,Santa Rosalia,MX,76.66,clear sky,27.32,-112.28,Hotel Las Casitas Santa Rosalia
552,Nicoya,CR,77.0,shower rain,10.15,-85.45,Guayacan Real
553,Santiago Del Estero,AR,73.02,overcast clouds,-27.8,-64.26,Hotel Urbano
554,Quatre Cocos,MU,77.0,scattered clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
557,Puerto Escondido,MX,82.4,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
558,Urucara,BR,75.94,moderate rain,-2.54,-57.76,Pousada Maria Bonita
560,Aripuana,BR,73.27,light rain,-9.17,-60.63,
561,Tautira,PF,80.6,broken clouds,-17.73,-149.15,Pension Oaoa
567,Dutlwe,BW,74.88,broken clouds,-23.98,23.9,
568,Estelle,US,77.0,mist,29.85,-90.11,Comfort Inn Marrero - New Orleans West
573,Owando,CG,70.72,light rain,-0.48,15.9,Exaunel Hotel Owando
575,Davila,PH,89.6,shower rain,18.47,120.58,SITIO 3 DAVILA PASUQUIN
577,Ambulu,ID,85.57,few clouds,-8.35,113.61,Hotel Ambulu Jember
579,Naze,JP,73.4,broken clouds,28.37,129.48,奄美ポートタワーホテル
580,Kapoeta,SS,73.4,moderate rain,4.77,33.59,Eastgate Hotel
582,Palmeirais,BR,79.9,broken clouds,-5.98,-43.06,Pousada LS
584,Sokolo,ML,81.09,few clouds,14.73,-6.12,
586,Mersing,MY,84.2,few clouds,2.43,103.84,Timotel Hotel
587,Gibara,CU,77.0,few clouds,21.11,-76.13,Sol y Mar
588,Ndele,CF,70.18,light rain,8.41,20.65,
589,Merauke,ID,85.28,light rain,-8.47,140.33,
590,Perbaungan,ID,82.4,haze,3.57,98.96,Bendang Lama
596,Mackay,AU,82.4,overcast clouds,-21.15,149.2,International Lodge Motel
604,Ibra,OM,72.99,clear sky,22.69,58.53,مزرعة راحة النفوس المنزفة
606,Cururupu,BR,75.7,broken clouds,-1.83,-44.87,Pousada Través'cia
615,Lam Luk Ka,TH,84.99,clear sky,13.93,100.75,JUGA 1
617,Padang,ID,85.19,moderate rain,-0.95,100.35,Mercure Padang
621,Miri,MY,84.2,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
623,Charters Towers,AU,84.97,broken clouds,-20.1,146.27,Cattleman's Rest Motor Inn
625,Charleston,US,72.0,clear sky,32.78,-79.93,French Quarter Inn
626,Clarence Town,AU,72.0,shower rain,-32.58,151.78,River Downs Cottage
628,Rach Gia,VN,84.2,scattered clouds,10.02,105.08,Nhà Hàng Hòa Giang
630,Torit,SS,70.2,overcast clouds,4.41,32.57,Diplomat Guest House
631,Nanakuli,US,82.0,moderate rain,21.39,-158.15,Camp Pālehua
633,Eyl,SO,79.12,overcast clouds,7.98,49.82,Amiin Hotel
634,Noumea,NC,87.01,light rain,-22.28,166.46,Hôtel Le Lagon
638,Limbang,MY,82.4,broken clouds,4.75,115.0,Purnama Hotel
639,Porto Velho,BR,78.8,few clouds,-8.76,-63.9,Hotel Vila Rica Porto Velho
640,Shamgarh,IN,77.5,clear sky,24.18,75.63,Hotel Shree Onkar Palace
651,Vanimo,PG,86.94,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
655,Miramar,US,81.0,clear sky,25.99,-80.23,Stadium Hotel
656,Igboho,NG,70.14,broken clouds,8.83,3.75,More Hotet LTD
657,Thinadhoo,MV,83.68,overcast clouds,0.53,72.93,
658,Casambalangan,PH,83.84,heavy intensity rain,18.38,122.13,Villa Saturnina
659,Isla Mujeres,MX,82.4,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
663,San Andres,CO,80.6,few clouds,12.58,-81.7,Hotel Arena Blanca
664,Camocim,BR,77.34,clear sky,-2.9,-40.84,Hotel Ilha do Amor
668,Belmonte,BR,71.6,overcast clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
669,Caravelas,BR,72.27,light rain,-17.71,-39.25,Pousada dos Navegantes
671,Porto Novo,BJ,80.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
