City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Chara,RU,56.91,118.26,30.81,91,88,1.25,overcast clouds
130,Kahului,US,20.89,-156.47,87.8,55,40,8.05,scattered clouds
131,Sabaudia,IT,41.3,13.03,66.0,87,100,1.99,overcast clouds
132,Port-Gentil,GA,-0.72,8.78,77.97,87,100,11.14,light rain
133,Gasa,PS,31.5,34.47,69.01,88,40,3.36,scattered clouds
134,Agadez,NE,19.75,10.25,68.56,24,0,11.14,clear sky
135,Port Hardy,CA,50.7,-127.42,41.0,100,75,2.24,broken clouds
136,Vendome,FR,47.8,1.07,53.6,87,90,13.87,overcast clouds
137,Itatiaia,BR,-22.5,-44.56,63.61,80,36,1.66,scattered clouds
138,Lebu,CL,-37.62,-73.65,50.09,85,100,5.41,overcast clouds
139,Sao Filipe,CV,14.9,-24.5,80.13,78,85,9.55,overcast clouds
140,Lagoa,PT,39.05,-27.98,66.65,82,44,24.18,scattered clouds
141,Makakilo City,US,21.35,-158.09,82.4,78,75,3.36,moderate rain
142,Gulbene,LV,57.18,26.75,45.07,92,100,2.39,overcast clouds
143,Saint-Philippe,RE,-21.36,55.77,75.2,69,20,12.75,few clouds
144,Bengkulu,ID,-3.8,102.27,80.29,80,100,2.51,overcast clouds
145,Zheleznodorozhnyy,RU,55.75,38.0,51.8,81,0,8.95,clear sky
146,Codrington,AU,-38.27,141.97,53.6,65,55,17.45,broken clouds
147,Olga,RU,43.74,135.29,40.95,63,100,13.98,overcast clouds
148,Geraldton,AU,-28.77,114.6,87.8,16,0,11.41,clear sky
149,Umm Kaddadah,SD,13.6,26.69,80.42,16,2,17.43,clear sky
150,Mumford,GH,5.26,-0.76,76.84,90,12,7.36,few clouds
151,Podyuga,RU,61.09,40.86,44.24,95,100,8.1,light rain
152,Nome,US,64.5,-165.41,33.8,86,90,12.75,overcast clouds
153,North Bend,US,43.41,-124.22,57.0,100,90,8.05,overcast clouds
154,Tocopilla,CL,-22.09,-70.2,61.74,65,15,5.32,few clouds
155,Omsukchan,RU,62.53,155.8,33.67,88,0,3.44,clear sky
156,Airai,TL,-8.93,125.41,81.05,48,14,3.09,few clouds
157,Yuci,CN,37.68,112.73,53.6,25,0,4.47,clear sky
158,Baruun-Urt,MN,46.68,113.28,42.04,56,52,12.95,broken clouds
159,Haines Junction,CA,60.75,-137.51,21.83,82,100,2.04,overcast clouds
160,Bathsheba,BB,13.22,-59.52,84.2,74,20,25.28,few clouds
161,Guerrero Negro,MX,27.98,-114.06,66.92,82,0,12.01,clear sky
162,Moose Factory,CA,51.26,-80.61,32.0,94,90,6.93,overcast clouds
163,Naryan-Mar,RU,67.67,53.09,21.04,93,92,12.8,overcast clouds
164,Qasigiannguit,GL,68.82,-51.19,21.2,57,93,9.17,overcast clouds
165,Mahebourg,MU,-20.41,57.7,75.2,69,40,11.41,scattered clouds
166,Kovernino,RU,57.13,43.81,47.98,89,97,10.98,light rain
167,Japaratuba,BR,-10.59,-36.94,80.6,78,40,11.41,scattered clouds
168,Mogadishu,SO,2.04,45.34,80.01,84,63,17.09,broken clouds
169,Ballinasloe,IE,53.33,-8.22,53.01,92,100,8.01,moderate rain
170,Nelson Bay,AU,-32.72,152.15,72.0,94,75,10.29,shower rain
171,Khatanga,RU,71.97,102.5,14.04,97,100,12.21,light snow
172,Ancud,CL,-41.87,-73.82,51.01,93,90,8.05,overcast clouds
173,Nikolskoye,RU,59.7,30.79,37.0,88,75,6.71,broken clouds
174,Armidale,AU,-30.52,151.65,61.0,81,100,5.01,light rain
175,Areosa,PT,41.72,-8.86,60.01,87,75,6.93,broken clouds
176,Duluth,US,46.78,-92.11,32.0,95,90,17.22,overcast clouds
177,Norman Wells,CA,65.28,-126.83,26.6,100,40,4.7,scattered clouds
178,Tabou,CI,4.42,-7.35,76.51,90,100,5.14,light rain
179,Ust-Nera,RU,64.57,143.2,25.25,93,95,4.34,overcast clouds
180,Cidreira,BR,-30.18,-50.21,67.95,92,100,16.69,overcast clouds
181,Dullewala,PK,31.84,71.44,75.47,20,0,4.61,clear sky
182,College,US,64.86,-147.8,27.0,85,75,2.35,broken clouds
183,Imst,AT,47.27,10.67,48.99,92,100,1.97,light rain
184,Moyale,KE,3.52,39.06,68.49,86,68,9.4,broken clouds
185,Inhambane,MZ,-23.86,35.38,72.05,79,95,5.79,overcast clouds
186,Ponta Do Sol,PT,32.67,-17.1,66.2,68,40,6.93,scattered clouds
187,Laguna,US,38.42,-121.42,64.99,63,1,10.29,clear sky
188,Namibe,AO,-15.2,12.15,69.3,83,85,7.07,overcast clouds
189,Kunming,CN,25.04,102.72,66.0,47,0,8.95,clear sky
190,San Jeronimo,PE,-11.95,-75.28,52.88,63,100,6.85,overcast clouds
191,Sorong,ID,-0.88,131.25,83.98,77,19,8.14,light rain
192,San Quintin,MX,30.48,-115.95,65.14,80,68,7.05,broken clouds
193,Arraial Do Cabo,BR,-22.97,-42.03,73.4,78,40,17.22,scattered clouds
194,Burley,US,42.54,-113.79,39.2,44,1,3.36,clear sky
195,Touros,BR,-5.2,-35.46,77.0,94,75,4.7,broken clouds
196,Kodinsk,RU,58.69,99.18,35.98,83,91,7.14,overcast clouds
197,Whitianga,NZ,-36.83,175.7,65.79,69,31,7.96,scattered clouds
198,Puerto Ayora,EC,-0.74,-90.35,69.01,93,40,3.0,scattered clouds
199,Yellowknife,CA,62.46,-114.35,23.0,73,20,5.82,few clouds
200,Tomatlan,MX,19.93,-105.25,77.52,94,35,1.07,scattered clouds
201,Tuatapere,NZ,-46.13,167.68,70.0,51,98,10.0,overcast clouds
202,Lavrentiya,RU,65.58,-171.0,34.2,87,100,2.71,overcast clouds
203,Pisco,PE,-13.7,-76.22,62.6,82,0,13.87,clear sky
204,Haradok,BY,55.46,29.98,46.53,93,96,5.88,overcast clouds
205,Kamen-Rybolov,RU,44.75,132.04,43.74,56,99,19.19,overcast clouds
206,Graaff-Reinet,ZA,-32.25,24.53,69.57,51,19,2.28,few clouds
207,Egvekinot,RU,66.32,-179.17,22.37,95,9,6.96,clear sky
208,Arona,ES,28.1,-16.68,68.0,64,20,16.11,few clouds
209,Tongchuan,CN,35.08,109.09,57.16,42,90,7.05,overcast clouds
210,Tongliao,CN,43.61,122.27,50.61,39,0,9.26,clear sky
211,Alyangula,AU,-13.85,136.42,91.4,49,14,11.41,few clouds
212,Komsomolskiy,UZ,40.43,71.72,41.0,52,100,4.7,overcast clouds
213,Novyy Urengoy,RU,66.08,76.63,18.64,97,99,9.06,overcast clouds
214,Consuegra,ES,39.46,-3.61,54.0,89,0,5.21,clear sky
215,Teguise,ES,29.06,-13.56,66.2,77,0,10.29,clear sky
216,Murgab,TM,37.5,61.97,46.4,61,0,4.7,clear sky
217,Severo-Kurilsk,RU,50.68,156.12,43.41,87,100,38.21,heavy intensity rain
218,Pervomayskiy,RU,53.25,40.29,49.37,94,9,10.07,clear sky
219,Leningradskiy,RU,69.38,178.42,22.91,91,8,5.1,clear sky
220,Catamarca,AR,-28.47,-65.79,66.0,83,4,1.01,clear sky
221,Mar Del Plata,AR,-38.0,-57.56,59.0,100,90,3.36,overcast clouds
222,Provideniya,RU,64.38,-173.3,33.57,90,100,12.08,overcast clouds
223,High Level,CA,58.52,-117.14,14.0,85,5,5.82,clear sky
224,Todos Santos,MX,23.45,-110.22,80.01,84,67,1.01,broken clouds
225,Longyearbyen,SJ,78.22,15.64,23.0,73,75,2.24,broken clouds
226,Rio Grande,BR,-32.03,-52.1,64.0,96,100,7.94,overcast clouds
227,Itaituba,BR,-4.28,-55.98,77.31,84,49,2.68,scattered clouds
228,Calama,CL,-22.47,-68.93,53.6,22,0,11.41,clear sky
229,Fairbanks,US,64.84,-147.72,27.0,92,1,3.36,clear sky
230,Innisfail,AU,-17.53,146.03,81.82,61,70,7.14,broken clouds
